,Balcony,Brick,Dist,Floor,Kitchen_Area,Living_Area,Metro_Dist,NFloors,New,Price,Rooms,Tel,Total_Area,Walk
0,0.0,1.0,0.0020827738009999396,5.0,NaN,NaN,5.0,6.0,0.0,456516900.0,,1.0,498.0,1.0
1,0.0,1.0,0.0014505512899999713,2.0,NaN,74.3,10.0,13.0,0.0,31206000.0,1,1.0,74.3,0.0
2,0.0,0.0,0.002559013565000342,2.0,NaN,35.0,15.0,7.0,1.0,19723264.0,2,NaN,54.4,1.0
3,0.0,1.0,0.003424318720999923,2.0,NaN,10.0,6.0,5.0,1.0,4814581.0,1,NaN,17.3,1.0
4,0.0,1.0,0.0034749054169998816,2.0,NaN,17.3,5.0,6.0,0.0,4814581.0,1,1,17.3,1.0
5,0.0,0.0,0.0034276795930003575,1.0,7.0,20.0,4.0,9.0,0.0,5300000.0,1,1,32.0,1.0
6,0.0,0.0,0.003424318720999923,5.0,NaN,18.3,6.0,NaN,1.0,5377566.0,1,NaN,18.3,1.0
7,0.0,1.0,0.003424318720999923,5.0,NaN,10.0,6.0,5.0,1.0,5377566.0,1,NaN,18.3,1.0
8,0.0,1.0,0.0034749054169998816,2.0,NaN,23.7,5.0,6.0,0.0,5496232.0,1,1,23.7,1.0
9,1.0,0.0,0.005539907825000261,1.0,9.6,20.0,10.0,1.0,0.0,5550000.0,1,NaN,37.4,1.0
10,1.0,1.0,0.009283241028999375,3.0,6.0,16.0,NaN,5.0,0.0,5900000.0,1,1,30.0,0.0
11,0.0,0.0,0.009162976656999566,1.0,10.0,20.0,13.0,12.0,0.0,6000000.0,1,NaN,35.0,1.0
12,1.0,1.0,0.003615283701000061,12.0,9.6,20.1,10.0,12.0,0.0,6000000.0,1,1,35.1,0.0
13,1.0,1.0,0.003955642860999678,2.0,8.0,21.0,12.0,5.0,0.0,6100000.0,1,1,34.0,1.0
14,1.0,0.0,0.003615283701000061,12.0,10.0,20.0,10.0,12.0,0.0,6100000.0,1,1,36.0,1.0
15,0.0,0.0,0.003424318720999923,4.0,NaN,25.5,6.0,NaN,1.0,6258687.0,1,NaN,25.5,1.0
16,0.0,1.0,0.003424318720999923,4.0,NaN,15.0,6.0,4.0,1.0,6258687.0,1,NaN,25.5,1.0
17,0.0,1.0,0.003424318720999923,3.0,29.5,NaN,5.0,4.0,1.0,6325576.0,1,NaN,29.5,1.0
18,0.0,1.0,0.003424318720999923,3.0,NaN,17.0,6.0,4.0,1.0,6325576.0,1,NaN,30.0,1.0
19,0.0,1.0,0.003464304040000207,3.0,NaN,29.5,5.0,6.0,0.0,6325576.0,1,1,29.5,1.0
20,1.0,0.0,0.0100053463119993,2.0,10.0,18.0,10.0,12.0,0.0,6400000.0,1,1,34.0,1.0
21,0.0,0.0,0.003424318720999923,3.0,NaN,33.4,6.0,NaN,1.0,6437035.0,1,NaN,33.4,1.0
22,0.0,1.0,0.003424318720999923,3.0,NaN,18.0,6.0,4.0,1.0,6437035.0,1,NaN,33.5,1.0
23,0.0,1.0,0.003424318720999923,4.0,NaN,16.0,6.0,4.0,1.0,6449418.0,1,NaN,28.5,1.0
24,1.0,1.0,0.004265930408000018,5.0,5.6,18.6,10.0,5.0,0.0,6500000.0,1,1,30.7,1.0
